"datum","PTE","periode_van","periode_tm","indicatie noodvermogen op","indicatie noodvermogen af","opregelen","Afregelen","prikkelcomponent","Afnemen","invoeden","regeltoestand"
"04-01-2023","1","00:00","00:15","","","","-78,66","0","-78,66","-78,66","-1"
"04-01-2023","2","00:15","00:30","","","","-10,41","0","-10,41","-10,41","-1"
"04-01-2023","3","00:30","00:45","","","","","0","101,04","101,04","0"
"04-01-2023","4","00:45","01:00","","","","-13,66","0","-13,66","-13,66","-1"
"04-01-2023","5","01:00","01:15","","","","","0","101,04","101,04","0"
"04-01-2023","6","01:15","01:30","","","","-10,62","0","-10,62","-10,62","-1"
"04-01-2023","7","01:30","01:45","","","","-10,62","0","-10,62","-10,62","-1"
"04-01-2023","8","01:45","02:00","","","","-10,62","0","-10,62","-10,62","-1"
"04-01-2023","9","02:00","02:15","","","","-10,41","0","-10,41","-10,41","-1"
"04-01-2023","10","02:15","02:30","","","","-13,66","0","-13,66","-13,66","-1"
"04-01-2023","11","02:30","02:45","","","","-10,41","0","-10,41","-10,41","-1"
"04-01-2023","12","02:45","03:00","","","","-59,19","0","-59,19","-59,19","-1"
"04-01-2023","13","03:00","03:15","","","","-39,43","0","-39,43","-39,43","-1"
"04-01-2023","14","03:15","03:30","","","","-5,39","0","-5,39","-5,39","-1"
"04-01-2023","15","03:30","03:45","","","","-10,41","0","-10,41","-10,41","-1"
"04-01-2023","16","03:45","04:00","","","","-10,43","0","-10,43","-10,43","-1"
"04-01-2023","17","04:00","04:15","","","30","-13,04","0","39,5","-13,04","2"
"04-01-2023","18","04:15","04:30","","","","-5,35","0","-5,35","-5,35","-1"
"04-01-2023","19","04:30","04:45","","","","-14,19","0","-14,19","-14,19","-1"
"04-01-2023","20","04:45","05:00","","","","-5,23","0","-5,23","-5,23","-1"
"04-01-2023","21","05:00","05:15","","","","-10,62","0","-10,62","-10,62","-1"
"04-01-2023","22","05:15","05:30","","","","-10,52","0","-10,52","-10,52","-1"
"04-01-2023","23","05:30","05:45","","","","-10,43","0","-10,43","-10,43","-1"
"04-01-2023","24","05:45","06:00","","","163,23","","0","163,23","163,23","1"
"04-01-2023","25","06:00","06:15","","","","-22,92","0","-22,92","-22,92","-1"
"04-01-2023","26","06:15","06:30","","","","-30,74","0","-30,74","-30,74","-1"
"04-01-2023","27","06:30","06:45","","","","-10,51","0","-10,51","-10,51","-1"
"04-01-2023","28","06:45","07:00","","","153,23","","0","153,23","153,23","1"
"04-01-2023","29","07:00","07:15","","","153,23","-39,02","0","153,23","-39,02","2"
"04-01-2023","30","07:15","07:30","","","","-25,62","0","-25,62","-25,62","-1"
"04-01-2023","31","07:30","07:45","","","","","0","101,12","101,12","0"
"04-01-2023","32","07:45","08:00","","","183,23","","0","183,23","183,23","1"
"04-01-2023","33","08:00","08:15","","","178,87","-14,04","0","178,87","-14,04","2"
"04-01-2023","34","08:15","08:30","","","168,87","","0","168,87","168,87","1"
"04-01-2023","35","08:30","08:45","","","187,2","","0","187,2","187,2","1"
"04-01-2023","36","08:45","09:00","","","168,87","","0","168,87","168,87","1"
"04-01-2023","37","09:00","09:15","","","247,39","","0","247,39","247,39","1"
"04-01-2023","38","09:15","09:30","","","173,25","","0","173,25","173,25","1"
"04-01-2023","39","09:30","09:45","","","","","0","122,28","122,28","0"
"04-01-2023","40","09:45","10:00","","","","","0","122,28","122,28","0"
"04-01-2023","41","10:00","10:15","","","153,4","","0","153,4","153,4","1"
"04-01-2023","42","10:15","10:30","","","193,4","-25,62","0","193,4","-25,62","2"
"04-01-2023","43","10:30","10:45","","","218,4","-25,62","0","-25,62","-25,62","-1"
"04-01-2023","44","10:45","11:00","","","153,4","101,31","0","153,4","153,4","1"
"04-01-2023","45","11:00","11:15","","","252,54","","0","252,54","252,54","1"
"04-01-2023","46","11:15","11:30","","","193,45","","0","193,45","193,45","1"
"04-01-2023","47","11:30","11:45","","","173,45","","0","173,45","173,45","1"
"04-01-2023","48","11:45","12:00","","","168,45","","0","168,45","168,45","1"
"04-01-2023","49","12:00","12:15","","","168,44","","0","168,44","168,44","1"
"04-01-2023","50","12:15","12:30","","","168,44","","0","168,44","168,44","1"
"04-01-2023","51","12:30","12:45","","","168,44","","0","168,44","168,44","1"
"04-01-2023","52","12:45","13:00","","","153,44","-8,65","0","153,44","-8,65","2"
"04-01-2023","53","13:00","13:15","","","218,48","-14,21","0","218,48","-14,21","2"
"04-01-2023","54","13:15","13:30","","","168,48","","0","168,48","168,48","1"
"04-01-2023","55","13:30","13:45","","","","","0","101,24","101,24","0"
"04-01-2023","56","13:45","14:00","","","","-14,87","0","-14,87","-14,87","-1"
